Barcode	X1	X2	Gene	Pathway1	Pathway2	Highlight	label	alpha	size
Rad50-5	6.40603306240031	0.935287953395151	Rad50	HR	""	""	HR	1	1
Rad51ap1-3	0.674270710317984	3.80518594778637	Rad51ap1	HR	""	""	HR	1	1
Rad51ap1-4	0.724835027705084	3.99718898789106	Rad51ap1	HR	""	""	HR	1	1
Rad51ap1-5	0.725959243810613	3.96778624623562	Rad51ap1	HR	""	""	HR	1	1
Rad51c-1	2.95175532053182	4.20003476504882	Rad51c	HR	FA/ICL	""	HR	1	1
Rad51c-5	2.37961662304889	3.635079433349	Rad51c	HR	FA/ICL	""	HR	1	1
Rad51d-1	2.6095180634276	3.94055413492802	Rad51d	HR	""	""	HR	1	1
Rad51d-4	2.2368769475512	3.73656929992519	Rad51d	HR	""	""	HR	1	1
Rad51d-5	2.47801947449805	3.76634394685321	Rad51d	HR	""	""	HR	1	1
Rad9a-2	1.67258478520723	0.140626378877772	Rad9a	FORK QC	""	""	FORK QC	1	1
Rad9a-4	1.94977792965188	0.0909855435769793	Rad9a	FORK QC	""	""	FORK QC	1	1
Rad9a-5	2.00338514203509	0.254791377682242	Rad9a	FORK QC	""	""	FORK QC	1	1
Ranbp1-4	0.769903995290468	3.95170770741933	Ranbp1	""	""	""	Ranbp1	1	1
Rbbp8-3	4.99220118855867	5.14351687192953	Rbbp8	HR	""	""	HR	1	1
Rbbp8-4	5.01295143262707	5.14394801297848	Rbbp8	HR	""	""	HR	1	1
Rbbp8-5	4.95092958796756	4.88429512894981	Rbbp8	HR	""	""	HR	1	1
Ric8a-1	-0.323999436158586	-2.52877959553762	Ric8a	""	""	""	Ric8a	1	1
Ric8a-5	-0.456114861465971	-2.41175606868503	Ric8a	""	""	""	Ric8a	1	1
Rmi1-2	1.08470127537003	3.44100183632507	Rmi1	HR	""	""	HR	1	1
Rmi2-2	1.37438892128042	3.71197729610334	Rmi2	HR	""	""	HR	1	1
Rmi2-3	1.6067607295344	4.21552344217376	Rmi2	HR	""	""	HR	1	1
Rmi2-5	1.21707374965508	3.6661435543408	Rmi2	HR	""	""	HR	1	1
Rnaseh2b-2	0.536085249572535	2.56311624407209	Rnaseh2b	RER	""	""	RER	1	1
Rnaseh2b-4	0.260065223734988	2.12470518980581	Rnaseh2b	RER	""	""	RER	1	1
Rnf168-1	5.72857161045791	3.50360472881888	Rnf168	53BP1	53BP1	EJ	53BP1	1	1
Rnf168-4	5.75692898184082	3.49006705965858	Rnf168	53BP1	53BP1	EJ	53BP1	1	1
Rnf168-5	5.72359305724061	3.4898997069805	Rnf168	53BP1	53BP1	EJ	53BP1	1	1
Rnf8-1	5.84731507779213	3.40565641753325	Rnf8	53BP1	53BP1	EJ	53BP1	1	1
Rnf8-2	5.78046094403244	3.51709914029563	Rnf8	53BP1	53BP1	EJ	53BP1	1	1
Rnf8-3	5.80725518711396	3.4538612713841	Rnf8	53BP1	53BP1	EJ	53BP1	1	1
Rpa1-4	1.13003288869126	-0.507429745201863	Rpa1	FORK QC	""	""	FORK QC	1	1
Rpa2-4	1.27865550953003	-0.532674508563486	Rpa2	FORK QC	FORK QC	""	FORK QC	1	1
Rpain-1	-0.83960462807705	-0.0484692913844358	Rpain	""	""	""	Rpain	1	1
Rpain-3	-1.0673949572149	0.00184121623051792	Rpain	""	""	""	Rpain	1	1
Rpain-7	-0.99356675503636	-0.0423587975425481	Rpain	""	""	""	Rpain	1	1
Shld1-2	3.46355980208083	-5.94134883509763	Shld1	53BP1	EJ	""	53BP1	1	1
Shld1-4	3.66077573905435	-6.01096412161029	Shld1	53BP1	EJ	""	53BP1	1	1
Shld1-5	3.40988382619383	-6.20851442440759	Shld1	53BP1	EJ	""	53BP1	1	1
Shld2-1	3.54869986148097	-5.8887161228605	Shld2	53BP1	EJ	""	53BP1	1	1
Shld2-2	3.51324346216674	-5.90324137486986	Shld2	53BP1	EJ	""	53BP1	1	1
Shld2-5	3.27668530265883	-5.95135835328557	Shld2	53BP1	EJ	""	53BP1	1	1
Sin3a-5	5.12996643977847	5.03866881857965	Sin3a	""	""	""	Sin3a	1	1
Skint1-2	-3.81242191777008	-0.134968362937502	Skint1	""	""	""	Skint1	1	1
Smc1a-1	1.87914099187723	4.21920667472075	Smc1a	""	""	""	Smc1a	1	1
Stat3-4	1.72858085928432	3.55113518461624	Stat3	""	""	""	Stat3	1	1
Stat3-5	1.92634382068299	3.8074534548974	Stat3	""	""	""	Stat3	1	1
Stn1-3	3.33399255130355	-6.05078933193888	Stn1	53BP1	EJ	""	53BP1	1	1
Stn1-4	3.56847859878906	-6.1330982395452	Stn1	53BP1	EJ	""	53BP1	1	1
Stn1-5	3.61923268458449	-6.09750083091691	Stn1	53BP1	EJ	""	53BP1	1	1
Taf13-1	2.69966046644909	4.29782022395086	Taf13	""	""	""	Taf13	1	1
Tcerg1-1	1.05903112540784	-0.536705443838311	Tcerg1	""	""	""	Tcerg1	1	1
Tcerg1-2	0.842682065448173	-0.497487322045932	Tcerg1	""	""	""	Tcerg1	1	1
Telo2-4	2.32895656339727	1.34880039880925	Telo2	""	""	""	Telo2	1	1
Ten1-2	3.64587770784289	-6.10540526676819	Ten1	53BP1	EJ	""	53BP1	1	1
Ten1-4	3.55882170395441	-6.05704839032613	Ten1	53BP1	EJ	""	53BP1	1	1
Timeless-1	0.488682032899911	1.8398319660201	Timeless	""	""	""	Timeless	1	1
Topbp1-2	1.34895840688481	1.04203200154288	Topbp1	FORK QC	""	""	FORK QC	1	1
Topbp1-3	0.863755817968903	0.846828676511785	Topbp1	FORK QC	""	""	FORK QC	1	1
Topbp1-4	3.08538078345268	1.4313529894844	Topbp1	FORK QC	""	""	FORK QC	1	1
Trex1-2	-1.04301514061786	-2.6061585149932	Trex1	""	""	""	Trex1	1	1
Trp53-2	0.177557728608145	2.91661768891205	Trp53	""	""	""	Trp53	1	1
Trp53-3	0.223159855727443	2.98141409298993	Trp53	""	""	""	Trp53	1	1
Trp53-5	0.292619051066352	2.98904023339892	Trp53	""	""	""	Trp53	1	1
Trp53bp1-1	3.11537528205568	-5.67736507315514	Trp53bp1	53BP1	EJ	""	53BP1	1	1
Trp53bp1-4	3.16163235106667	-5.71985452871586	Trp53bp1	53BP1	EJ	""	53BP1	1	1
Trp53bp1-5	3.2215045933767	-5.74606450578479	Trp53bp1	53BP1	EJ	""	53BP1	1	1
Ttf2-4	0.577096667027856	-0.346517666812724	Ttf2	""	""	""	Ttf2	1	1
Ttf2-5	0.58346826516062	-0.406379557298802	Ttf2	""	""	""	Ttf2	1	1
Tti1-1	4.26289126492966	1.47961452153451	Tti1	""	""	""	Tti1	1	1
Tti1-4	1.58558931998898	1.41452644343975	Tti1	""	""	""	Tti1	1	1
Tti1-5	4.99110800043528	1.45923887922324	Tti1	""	""	""	Tti1	1	1
Uba3-2	2.30880698626589	3.93067442120708	Uba3	""	""	""	Uba3	1	1
Ube2m-9	1.7873249836116	3.96914825828641	Ube2m	""	""	""	Ube2m	1	1
Ube2t-2	4.02905425714474	4.63295042295146	Ube2t	FA/ICL	""	""	FA/ICL	1	1
Ube2t-3	4.09666738436947	4.65348555503321	Ube2t	FA/ICL	""	""	FA/ICL	1	1
Ubp1-1	-0.69783513911364	-3.00960798438941	Ubp1	""	""	""	Ubp1	1	1
Ubp1-2	-0.824156196947468	-2.87790482331414	Ubp1	""	""	""	Ubp1	1	1
Vmn1r223-1	-2.68016594211216	0.446520617034817	Vmn1r223	""	""	""	Vmn1r223	1	1
Wdr48-2	2.44484167953524	4.39348486894992	Wdr48	FA/ICL	""	""	FA/ICL	1	1
Wdr48-4	2.36298490461277	4.38834864984474	Wdr48	FA/ICL	""	""	FA/ICL	1	1
Wdr61-3	1.40866834715888	-0.170201742146204	Wdr61	""	""	""	Wdr61	1	1
Wdr77-2	2.09053471114922	1.7985220101179	Wdr77	""	""	""	Wdr77	1	1
Wdr77-3	2.04365151233245	1.60526139374086	Wdr77	""	""	""	Wdr77	1	1
Wdr77-4	2.08566993558677	1.68627206179843	Wdr77	""	""	""	Wdr77	1	1
Wrn-2	-4.30123791590196	-0.438826265447154	Wrn	""	""	Yes	Wrn	1	1
Wrn-3	-4.406465318018	-0.674498459299012	Wrn	""	""	Yes	Wrn	1	1
Wrn-4	-4.42534735587825	-0.625493781782887	Wrn	""	""	Yes	Wrn	1	1
Wtap-2	0.384423010449143	-1.98554136223705	Wtap	""	""	""	Wtap	1	1
Wtap-3	0.302502658717234	-1.98079349500719	Wtap	""	""	""	Wtap	1	1
Wtap-4	0.385082439890394	-2.18873231232266	Wtap	""	""	""	Wtap	1	1
Xrcc4-1	1.37349269977301	-4.2189664945528	Xrcc4	EJ	""	""	EJ	1	1
Xrcc4-2	1.86825923028798	-4.61642060030464	Xrcc4	EJ	""	""	EJ	1	1
Xrcc4-3	1.73107572642999	-4.48504769843469	Xrcc4	EJ	""	""	EJ	1	1
Xrcc5-2	3.86385570659281	1.24505245954946	Xrcc5	EJ	""	""	EJ	1	1
Xrcc5-4	3.72949721341055	1.1690730805698	Xrcc5	EJ	""	""	EJ	1	1
Xrcc5-5	3.80957068329315	1.21733339166843	Xrcc5	EJ	""	""	EJ	1	1
Xrcc6-1	3.75881341820584	1.19726437357792	Xrcc6	EJ	""	""	EJ	1	1
Xrcc6-2	3.69013922581101	1.18366924448248	Xrcc6	EJ	""	""	EJ	1	1
Xrcc6-4	3.26271870368173	1.12923500286854	Xrcc6	EJ	""	""	EJ	1	1
Zc3h10-4	-0.31043242474702	-2.53129911564956	Zc3h10	""	""	""	Zc3h10	1	1
Zc3h10-5	-0.427856439607542	-2.50605254703463	Zc3h10	""	""	""	Zc3h10	1	1
Zc3h13-1	0.360721083465965	-2.14010353267147	Zc3h13	""	""	""	Zc3h13	1	1
Zc3h13-3	0.417366644122466	-2.09520551302734	Zc3h13	""	""	""	Zc3h13	1	1
Zc3h13-5	0.233205539573468	-2.02388141556178	Zc3h13	""	""	""	Zc3h13	1	1
