Gene	Pathway1	Pathway2	BCCount	Type	meanWTfraction	SumTrial	SumCounts	meanLFC	meanPScore	meanManHdist	meanEuclDist	sdType	RankUp	RankPval
Trp53	unassigned	""	5	Deletion (1-14bp)	0.204140016	2582422	658623	0.02375244	87.89450903	87.94239816	87.89453561	0.049090684	3933	1
Trp53bp1	53BP1	EJ	5	Deletion (1-14bp)	0.479018492	111617	22380	-0.292612378	58.74789744	59.04050982	58.74882051	0.049090684	17542	2
H2ax	EJ	""	4	Deletion (1-14bp)	0.629587687	47887	15168	0.327744892	57.23173695	57.55948184	57.23322913	0.049090684	1	3
Zfp354a	unassigned	""	4	Deletion (1-14bp)	0.492024629	64921	15678	-0.073705909	42.06594936	42.33792975	42.06724053	0.049090684	16441	4
Plgrkt	unassigned	""	4	Deletion (1-14bp)	0.499723943	50013	13872	0.128829431	40.50370524	40.73504707	40.50509258	0.049090684	223	5
Xrcc5	EJ	""	5	Deletion (1-14bp)	0.477184666	56171	14426	0.057895754	38.22049361	38.52626757	38.221997	0.049090684	1454	6
Xrcc6	EJ	""	5	Deletion (1-14bp)	0.519259116	67103	16049	-0.054152175	37.15017904	37.42093625	37.15138084	0.049090684	15139	7
Ccdc6	unassigned	""	5	Deletion (1-14bp)	0.395884022	229231	51578	-0.126523441	34.80678683	34.93331027	34.80715953	0.049090684	17415	8
Hoxb5	unassigned	""	5	Deletion (1-14bp)	0.498075309	91378	23831	0.088535951	32.17750475	32.35732457	32.1783125	0.049090684	631	9
Bard1	HR	""	4	Deletion (1-14bp)	0.553576781	30575	9609	0.32085428	28.61703843	28.93789271	28.61940812	0.049090684	2	10
Spata2	unassigned	""	4	Deletion (1-14bp)	0.493530652	107083	23603	-0.175703691	28.0672881	28.25791964	28.06811823	0.049090684	17523	11
Oc90	unassigned	""	4	Deletion (1-14bp)	0.490588656	74356	18250	0.00653004	25.51776216	25.71997793	25.51885501	0.049090684	6271	12
Fancb	FA/ICL	""	4	Deletion (1-14bp)	0.614191274	36448	10707	0.198013019	24.69923812	24.92084603	24.70114318	0.049090684	38	13
Pdcl3	unassigned	""	3	Deletion (1-14bp)	0.543792837	54727	13542	-0.053816235	24.00751533	24.25939094	24.0089807	0.049090684	15114	14
Khdrbs1	unassigned	""	4	Deletion (1-14bp)	0.533848487	91154	23183	-0.008178109	23.92504904	24.07227185	23.92590727	0.049090684	8680	15
Rnf168	53BP1	EJ	3	Deletion (1-14bp)	0.560679453	24318	7428	0.316721603	22.55505861	22.87178021	22.55764485	0.049090684	3	16
Gpr171	unassigned	""	4	Deletion (1-14bp)	0.491989313	78622	18647	-0.078001608	22.43757535	22.63403599	22.43859313	0.049090684	16616	17
Slc39a12	unassigned	""	5	Deletion (1-14bp)	0.473455178	45335	11261	0.01472613	22.17505324	22.42913726	22.1768667	0.049090684	5075	18
Mettl3	unassigned	""	5	Deletion (1-14bp)	0.411912541	179351	40391	-0.139690676	21.38396956	21.52366024	21.38447592	0.049090684	17463	19
Fanca	FA/ICL	""	5	Deletion (1-14bp)	0.591400786	72287	20549	0.188462623	21.29118914	21.47965176	21.29224324	0.049090684	43	20
Sppl2a	unassigned	""	4	Deletion (1-14bp)	0.495467095	114776	28939	-0.0041455	21.00685345	21.16064059	21.00758524	0.049090684	7977	21
Nanog	unassigned	""	3	Deletion (1-14bp)	0.673545058	26918	8337	0.314904016	20.86142649	21.1763305	20.86441055	0.049090684	4	22
Poll	EJ	""	5	Deletion (1-14bp)	0.520719362	120601	33088	0.151310408	20.82908682	20.98039723	20.8297271	0.049090684	126	23
Apol7c	unassigned	""	3	Deletion (1-14bp)	0.454842349	92357	20469	-0.165106007	20.79276077	20.96293564	20.79364556	0.049090684	17511	24
Tmco5	unassigned	""	5	Deletion (1-14bp)	0.494450023	60338	13657	-0.110261885	20.36719153	20.58496237	20.36863838	0.049090684	17291	25
Syt4	unassigned	""	4	Deletion (1-14bp)	0.508498982	74562	17589	-0.119561969	20.14648905	20.33975726	20.14755444	0.049090684	17365	26
Trappc4	unassigned	""	4	Deletion (1-14bp)	0.610920668	53501	14169	0.092527955	19.90778265	20.09763538	19.9090927	0.049090684	570	27
Ppm1k	unassigned	""	4	Deletion (1-14bp)	0.486233308	64400	14280	-0.152222451	19.685145	19.83736745	19.68634145	0.049090684	17495	28
Dbr1	unassigned	""	3	Deletion (1-14bp)	0.6115649	25282	7105	0.112589479	19.67210513	19.88929252	19.6744815	0.049090684	342	29
Faap100	FA/ICL	""	5	Deletion (1-14bp)	0.617335752	74989	20743	0.145118336	19.28348864	19.4457387	19.28445983	0.049090684	145	30
Dclre1c	EJ	53BP1	5	Deletion (1-14bp)	0.518869364	84349	19314	-0.104836599	19.06942604	19.19669655	19.07017901	0.049090684	17220	31
Pten	unassigned	""	5	Deletion (1-14bp)	0.368400483	218154	50196	-0.10764885	18.97029252	19.07794137	18.97066594	0.049090684	17252	32
Plppr5	unassigned	""	4	Deletion (1-14bp)	0.478445771	104360	24058	-0.086794393	18.91154944	19.061093	18.91234096	0.049090684	16898	33
Fancg	FA/ICL	""	4	Deletion (1-14bp)	0.603030797	47099	13636	0.21545978	18.6667521	18.88221188	18.66830182	0.049090684	23	34
Pvr	unassigned	""	5	Deletion (1-14bp)	0.484455163	73739	16940	-0.122279845	18.64830424	18.82383145	18.64928337	0.049090684	17389	35
Clic4	unassigned	""	5	Deletion (1-14bp)	0.518924972	65888	15427	-0.083570664	18.60909507	18.7913005	18.61036415	0.049090684	16797	36
Fam227b	unassigned	""	5	Deletion (1-14bp)	0.487487875	145870	33978	-0.088295903	18.55393564	18.68296947	18.55449659	0.049090684	16932	37
Zfp616	unassigned	""	4	Deletion (1-14bp)	0.457121697	79899	18474	-0.120447727	18.07267037	18.2560854	18.07377659	0.049090684	17371	38
Brca1	HR	FA/ICL	4	Deletion (1-14bp)	0.610261136	31163	9352	0.261490312	17.72051121	17.98200153	17.72296429	0.049090684	9	39
Tomm6	unassigned	""	3	Deletion (1-14bp)	0.613564772	32675	8990	0.142880306	17.69707666	17.91313589	17.69907751	0.049090684	153	40
Cyb5r4	unassigned	""	5	Deletion (1-14bp)	0.574592559	29749	8270	0.120446508	17.34571475	17.50921129	17.34731796	0.049090684	277	41
Fchsd1	unassigned	""	5	Deletion (1-14bp)	0.504076916	86121	21877	0.049631415	17.28203921	17.40565885	17.28276187	0.049090684	1882	42
Mterf2	unassigned	""	4	Deletion (1-14bp)	0.503516235	51839	12601	-0.092967608	17.2449403	17.48350599	17.2466878	0.049090684	17042	43
Doc2b	unassigned	""	5	Deletion (1-14bp)	0.504703065	124808	31044	-0.027001026	17.17493367	17.30868833	17.17556223	0.049090684	11820	44
Rmi2	HR	""	5	Deletion (1-14bp)	0.564727339	87308	24120	0.140402836	17.15859322	17.30322784	17.15935597	0.049090684	162	45
Pde7a	unassigned	""	4	Deletion (1-14bp)	0.519212861	59672	13510	-0.108429904	16.97254674	17.14424928	16.97387541	0.049090684	17257	46
Slc30a7	unassigned	""	4	Deletion (1-14bp)	0.489456937	84823	19028	-0.158081999	16.8801202	17.0382022	16.88106785	0.049090684	17505	47
Fanci	FA/ICL	""	5	Deletion (1-14bp)	0.632707047	31335	9100	0.226254878	16.81430913	17.07606008	16.816676	0.049090684	15	48
Arf4	unassigned	""	4	Deletion (1-14bp)	0.489803797	66552	16415	0.009760686	16.56497171	16.70949477	16.56587396	0.049090684	5753	49
Lrrn3	unassigned	""	4	Deletion (1-14bp)	0.503930668	56670	15786	0.156311873	16.55079138	16.72218955	16.55212933	0.049090684	107	50
Rab11fip5	unassigned	""	4	Deletion (1-14bp)	0.502274117	85708	21951	0.011755159	16.54512053	16.64500416	16.54578319	0.049090684	5466	51
Fancc	FA/ICL	""	5	Deletion (1-14bp)	0.657391856	25794	7790	0.284044303	16.4867167	16.77076101	16.48951307	0.049090684	6	52
Ifi213	unassigned	""	4	Deletion (1-14bp)	0.509048276	34283	8546	0.013596704	16.43738181	16.65895125	16.43960646	0.049090684	5225	53
Sel1l2	unassigned	""	3	Deletion (1-14bp)	0.500419497	46408	11571	-0.06842271	16.42580249	16.6461549	16.42766968	0.049090684	16180	54
Prdm1	unassigned	""	5	Deletion (1-14bp)	0.465597678	82375	19096	-0.11931451	16.35618214	16.52719953	16.35722277	0.049090684	17363	55
Sccpdh	unassigned	""	4	Deletion (1-14bp)	0.49431005	109480	27631	0.022742202	16.21249105	16.36128809	16.21324214	0.049090684	4061	56
Cyp2c39	unassigned	""	4	Deletion (1-14bp)	0.475990364	52100	12146	-0.097418854	16.20549773	16.42042727	16.20706903	0.049090684	17127	57
Ccnjl	unassigned	""	4	Deletion (1-14bp)	0.497807982	73391	16096	-0.181806784	16.16632041	16.34812719	16.16742952	0.049090684	17527	58
Cnot3	unassigned	""	4	Deletion (1-14bp)	0.657492118	41317	11825	0.184208229	16.08100198	16.30545038	16.08284801	0.049090684	48	59
Polm	EJ	""	5	Deletion (1-14bp)	0.520007024	85413	22437	0.056376177	15.93575582	16.05373982	15.93658865	0.049090684	1529	60
Aadacl4fm4	unassigned	""	5	Deletion (1-14bp)	0.50854587	71005	16963	-0.056903968	15.84635664	16.03283718	15.84755395	0.049090684	15370	61
Nr1i2	unassigned	""	5	Deletion (1-14bp)	0.528381056	78552	19843	0.029812395	15.77852997	15.90905	15.77928179	0.049090684	3311	62
Vmn2r76	unassigned	""	5	Deletion (1-14bp)	0.515928733	46784	10622	-0.145942534	15.6198528	15.84798942	15.62174407	0.049090684	17483	63
Slc25a17	unassigned	""	4	Deletion (1-14bp)	0.504046445	70311	15777	-0.146042916	15.6105312	15.76611166	15.61152754	0.049090684	17484	64
Prpf6	unassigned	""	4	Deletion (1-14bp)	0.665856567	34601	9489	0.153214449	15.58827386	15.83043337	15.59048925	0.049090684	119	65
Plcb4	unassigned	""	4	Deletion (1-14bp)	0.508710551	105619	26979	0.015744344	15.54853128	15.68495179	15.54921968	0.049090684	4944	66
Mapk8	unassigned	""	4	Deletion (1-14bp)	0.494590375	85471	20977	-0.031173637	15.37916938	15.50451655	15.37995797	0.049090684	12472	67
Nipsnap3b	unassigned	""	4	Deletion (1-14bp)	0.493645566	75177	17519	-0.091283693	15.37168801	15.52294998	15.37271465	0.049090684	17005	68
Zfp952	unassigned	""	4	Deletion (1-14bp)	0.502423132	28172	6905	-0.000466896	15.36125358	15.64745044	15.36417351	0.049090684	7353	69
Mipol1	unassigned	""	4	Deletion (1-14bp)	0.476711411	55176	13166	-0.083252386	15.3189105	15.50941454	15.32038092	0.049090684	16786	70
Traf3ip2	unassigned	""	4	Deletion (1-14bp)	0.544542742	79958	21239	0.066115517	15.26952233	15.40570773	15.27038595	0.049090684	1159	71
Tex10	unassigned	""	4	Deletion (1-14bp)	0.620170345	48548	12177	-0.033779327	15.20297067	15.36467167	15.2045509	0.049090684	12846	72
Glra2	unassigned	""	5	Deletion (1-14bp)	0.464758017	118879	28213	-0.055076295	15.18201194	15.31548969	15.18269278	0.049090684	15222	73
Picalm	unassigned	""	3	Deletion (1-14bp)	0.45646995	63882	14523	-0.126645339	15.03832002	15.17833888	15.03938131	0.049090684	17416	74
Cdkn3	unassigned	""	5	Deletion (1-14bp)	0.496561627	49271	13455	0.133832469	15.00200112	15.1745388	15.00344625	0.049090684	199	75
Cplx4	unassigned	""	5	Deletion (1-14bp)	0.519888356	78290	19805	0.04537156	14.97956443	15.11148537	14.9803803	0.049090684	2127	76
Zfp729b	unassigned	""	5	Deletion (1-14bp)	0.480538755	37848	8429	-0.142279335	14.87610595	15.11916634	14.87842408	0.049090684	17473	77
Mettl14	unassigned	""	4	Deletion (1-14bp)	0.390554204	106560	24743	-0.113503173	14.83561253	14.989015	14.83644776	0.049090684	17316	78
Grid2	unassigned	""	5	Deletion (1-14bp)	0.490208753	58860	15148	0.039351272	14.8087952	14.97251766	14.80994403	0.049090684	2519	79
Chek2	unassigned	""	5	Deletion (1-14bp)	0.361818669	88459	19666	-0.155428875	14.806974	14.96240287	14.80792703	0.049090684	17499	80
Rtf1	unassigned	""	4	Deletion (1-14bp)	0.620345422	71487	19254	0.115570619	14.78696299	14.92635866	14.78794049	0.049090684	316	81
Elf5	unassigned	""	4	Deletion (1-14bp)	0.513528944	87719	23156	0.073105179	14.7632705	14.8827981	14.76403701	0.049090684	974	82
Epyc	unassigned	""	3	Deletion (1-14bp)	0.510922483	37683	10264	0.10864785	14.70767743	14.89187666	14.70926294	0.049090684	382	83
Ugt1a2	unassigned	""	4	Deletion (1-14bp)	0.509132241	49083	12656	0.053075306	14.64663194	14.82392473	14.64795725	0.049090684	1694	84
Cdca5	unassigned	""	4	Deletion (1-14bp)	0.660532409	34795	9849	0.156550547	14.59271888	14.78334828	14.59462236	0.049090684	106	85
Ube2m	unassigned	""	7	Deletion (1-14bp)	0.561255016	100196	25955	0.054294618	14.48701707	14.5942133	14.4876105	0.049090684	1629	86
Paqr3	unassigned	""	5	Deletion (1-14bp)	0.488567548	69464	17528	0.020049915	14.39483825	14.56573413	14.3959818	0.049090684	4377	87
Mapk10	unassigned	""	5	Deletion (1-14bp)	0.484233367	118522	28226	-0.041321377	14.39101487	14.50726578	14.39163727	0.049090684	13823	88
Gdpd4	unassigned	""	3	Deletion (1-14bp)	0.499610568	48615	12686	0.096368364	14.38550944	14.55710059	14.38682035	0.049090684	510	89
Lamtor5	unassigned	""	5	Deletion (1-14bp)	0.499477511	162725	38052	-0.091539705	14.27371842	14.38275909	14.27419758	0.049090684	17008	90
Hmg20a	unassigned	""	4	Deletion (1-14bp)	0.528786278	53219	14130	0.06336319	14.26950045	14.43807386	14.27086874	0.049090684	1252	91
Tmprss11e	unassigned	""	4	Deletion (1-14bp)	0.490504649	32619	7458	-0.123273791	14.21878754	14.41806417	14.2204565	0.049090684	17394	92
Mcmbp	unassigned	""	5	Deletion (1-14bp)	0.614519678	41907	11185	0.078576801	14.19237685	14.39345571	14.19422353	0.049090684	851	93
Cbr3	unassigned	""	5	Deletion (1-14bp)	0.48566551	75215	16702	-0.155614948	14.18303511	14.35430552	14.18418484	0.049090684	17500	94
Mmp3	unassigned	""	5	Deletion (1-14bp)	0.518354402	55947	12714	-0.126203638	14.1720537	14.35991714	14.17354426	0.049090684	17412	95
Polr2j	unassigned	""	4	Deletion (1-14bp)	0.785582407	20590	6265	0.298194361	14.14837417	14.44656853	14.15191293	0.049090684	5	96
Pebp4	unassigned	""	5	Deletion (1-14bp)	0.498066656	97817	23968	-0.023633408	14.12919022	14.26177857	14.12994385	0.049090684	11316	97
Igfbpl1	unassigned	""	4	Deletion (1-14bp)	0.495500782	117638	28819	-0.002336788	14.12088971	14.22278972	14.1214404	0.049090684	7669	98
Sh3kbp1	unassigned	""	5	Deletion (1-14bp)	0.459771502	100100	25241	0.024428329	14.05340314	14.17025197	14.05401758	0.049090684	3869	99
Rhox13	unassigned	""	5	Deletion (1-14bp)	0.466661507	112790	26235	-0.081985742	14.0257754	14.15558231	14.02650293	0.049090684	16754	100
Kcnc3	unassigned	""	4	Deletion (1-14bp)	0.491338558	49838	13029	0.052121281	13.99451098	14.16557879	13.99605403	0.049090684	1740	101
Pdlim7	unassigned	""	4	Deletion (1-14bp)	0.507464704	78921	18642	-0.104038937	13.98250187	14.11435727	13.9834432	0.049090684	17211	102
Mrgpra9	unassigned	""	4	Deletion (1-14bp)	0.462242725	69845	15867	-0.117836821	13.97521083	14.12444167	13.97639716	0.049090684	17353	103
Reg2	unassigned	""	3	Deletion (1-14bp)	0.4893973	68957	16237	-0.05715737	13.93419422	14.11746418	13.93544036	0.049090684	15387	104
Cdc40	unassigned	""	5	Deletion (1-14bp)	0.553743591	84468	19782	-0.081719728	13.86526731	13.98516795	13.86608486	0.049090684	16742	105
Morf4l2	unassigned	""	4	Deletion (1-14bp)	0.618033582	45980	11758	-0.000585508	13.8130902	14.02082303	13.81491156	0.049090684	7374	106
Ddit4l	unassigned	""	5	Deletion (1-14bp)	0.456274699	120947	28249	-0.093198865	13.78560171	13.91577863	13.78628541	0.049090684	17047	107
Dnaaf6b	unassigned	""	5	Deletion (1-14bp)	0.430061681	58505	12713	-0.193297876	13.78213758	13.97543546	13.78363046	0.049090684	17533	108
Glmn	unassigned	""	4	Deletion (1-14bp)	0.483149847	63895	14684	-0.12618523	13.76515637	13.9527409	13.76650343	0.049090684	17411	109
Eif3a	unassigned	""	4	Deletion (1-14bp)	0.675694965	37548	9631	-0.020676281	13.76430798	13.94616117	13.76642824	0.049090684	10836	110
Abr	unassigned	""	5	Deletion (1-14bp)	0.48306599	101496	24072	-0.071231044	13.75861746	13.89808022	13.75939557	0.049090684	16316	111
5031439G07Rik	unassigned	""	4	Deletion (1-14bp)	0.50126568	100290	25909	0.064007679	13.73502489	13.83513241	13.73566742	0.049090684	1235	112
Ubp1	unassigned	""	5	Deletion (1-14bp)	0.474443187	55632	12021	-0.200545573	13.73202228	13.93256785	13.73363587	0.049090684	17535	113
Recql5	unassigned	""	5	Deletion (1-14bp)	0.543603191	132432	35359	0.096076703	13.6883633	13.79864867	13.68893081	0.049090684	517	114
Mep1b	unassigned	""	5	Deletion (1-14bp)	0.483878312	64398	15174	-0.094316847	13.65607137	13.82698158	13.65733659	0.049090684	17067	115
Pla2g1b	unassigned	""	4	Deletion (1-14bp)	0.513586864	70219	17555	-0.006567629	13.65300781	13.80554819	13.65405256	0.049090684	8379	116
Rbm28	unassigned	""	3	Deletion (1-14bp)	0.61143851	30802	8448	0.143474216	13.55299857	13.73693775	13.55513614	0.049090684	149	117
Bzw1	unassigned	""	3	Deletion (1-14bp)	0.510926398	15448	3755	-0.007752795	13.48823721	13.76199121	13.49241077	0.049090684	8589	118
Trim17	unassigned	""	4	Deletion (1-14bp)	0.522837655	73140	18291	-0.008522806	13.45905	13.62503838	13.46017811	0.049090684	8739	119
Mcoln1	unassigned	""	4	Deletion (1-14bp)	0.502126361	58954	14966	0.003554086	13.42506616	13.57285297	13.42627293	0.049090684	6723	120
Hpse	unassigned	""	5	Deletion (1-14bp)	0.510804818	71561	16824	-0.081958418	13.42112894	13.57795055	13.42217832	0.049090684	16752	121
Mpz	unassigned	""	5	Deletion (1-14bp)	0.488916427	154866	35756	-0.100371935	13.40047688	13.50418394	13.40095773	0.049090684	17160	122
Zbtb8os	unassigned	""	5	Deletion (1-14bp)	0.709284954	23443	6677	0.203727203	13.3748509	13.61233696	13.37764557	0.049090684	34	123
Vwa5a	unassigned	""	3	Deletion (1-14bp)	0.501215158	66480	15730	-0.112816688	13.30831744	13.45067888	13.30938644	0.049090684	17312	124
Mmp12	unassigned	""	4	Deletion (1-14bp)	0.486852845	52555	12635	-0.039780202	13.29431667	13.49617663	13.29594211	0.049090684	13626	125
Cwf19l2	unassigned	""	4	Deletion (1-14bp)	0.561953231	54209	12012	-0.165171533	13.28760432	13.45277586	13.28885449	0.049090684	17512	126
Dbt	unassigned	""	5	Deletion (1-14bp)	0.489002423	97960	22136	-0.126325343	13.26408448	13.39040982	13.26489402	0.049090684	17413	127
Mboat2	unassigned	""	4	Deletion (1-14bp)	0.522818314	63381	14816	-0.10318889	13.24660293	13.41753006	13.24790548	0.049090684	17201	128
Sox4	unassigned	""	5	Deletion (1-14bp)	0.490072199	126100	28812	-0.121634687	13.24092285	13.36255754	13.24157466	0.049090684	17382	129
Ogdhl	unassigned	""	4	Deletion (1-14bp)	0.49858147	97156	23313	-0.032353685	13.23094205	13.35646546	13.23177154	0.049090684	12636	130
Rbbp8	HR	""	3	Deletion (1-14bp)	0.589309454	24036	7059	0.21841537	13.22892576	13.4554694	13.23153706	0.049090684	22	131
Ogfrl1	unassigned	""	4	Deletion (1-14bp)	0.497646402	57076	14923	0.041202076	13.2262676	13.38825291	13.22755305	0.049090684	2402	132
Zkscan16	unassigned	""	4	Deletion (1-14bp)	0.504200065	64984	14369	-0.165802084	13.21452059	13.38032268	13.21580739	0.049090684	17514	133
Gabrg1	unassigned	""	5	Deletion (1-14bp)	0.517558183	44572	10235	-0.118818415	13.21242126	13.41630929	13.21424426	0.049090684	17361	134
Hs3st1	unassigned	""	5	Deletion (1-14bp)	0.515655754	74099	19382	0.049854729	13.2045002	13.31789419	13.20540161	0.049090684	1870	135
Tsga13	unassigned	""	4	Deletion (1-14bp)	0.517035106	64485	15006	-0.100006564	13.18211312	13.33274282	13.18325566	0.049090684	17156	136
Mrgpra1	unassigned	""	4	Deletion (1-14bp)	0.508413412	74234	18870	0.050978911	13.16933058	13.30966182	13.17017035	0.049090684	1808	137
Lyrm1	unassigned	""	4	Deletion (1-14bp)	0.515918104	56258	13616	-0.027520519	13.14893585	13.30730827	13.15021276	0.049090684	11902	138
Ehd3	unassigned	""	5	Deletion (1-14bp)	0.453808986	110672	27389	-0.017342911	13.13795992	13.26987831	13.13868823	0.049090684	10271	139
Deup1	unassigned	""	4	Deletion (1-14bp)	0.517646107	55603	12970	-0.072191485	13.12778142	13.27898315	13.12903076	0.049090684	16359	140
Zmym5	unassigned	""	3	Deletion (1-14bp)	0.485722075	14567	3923	0.035469835	13.12432754	13.36032858	13.1291529	0.049090684	2844	141
S100a3	unassigned	""	5	Deletion (1-14bp)	0.487900202	128479	29465	-0.110416692	13.11661165	13.22960825	13.1171804	0.049090684	17294	142
Ndufb11b	unassigned	""	3	Deletion (1-14bp)	0.482548641	79649	17780	-0.148099015	13.03212172	13.18022073	13.03314052	0.049090684	17486	143
Gnl1	unassigned	""	3	Deletion (1-14bp)	0.587444879	47587	12705	0.089554225	13.00231299	13.14210847	13.00364555	0.049090684	609	144
Ndufv3	unassigned	""	9	Deletion (1-14bp)	0.494139633	188970	45802	-0.019486366	12.99613671	13.09648793	12.99657191	0.049090684	10628	145
Crot	unassigned	""	5	Deletion (1-14bp)	0.517885983	75376	17857	-0.090418043	12.99566795	13.16266046	12.99683953	0.049090684	16983	146
Rbm39	unassigned	""	3	Deletion (1-14bp)	0.606251317	34317	7502	-0.215108978	12.98003432	13.19777471	12.98225825	0.049090684	17538	147
Brwd3	unassigned	""	5	Deletion (1-14bp)	0.488535417	119923	27743	-0.09853084	12.97351303	13.09051736	12.97418963	0.049090684	17136	148
Ankrd26	unassigned	""	5	Deletion (1-14bp)	0.492175114	100179	23406	-0.084793686	12.97285569	13.08880691	12.97358921	0.049090684	16845	149
Ugt2b1	unassigned	""	3	Deletion (1-14bp)	0.460823602	42221	11324	0.094233955	12.96276707	13.11835468	12.96431526	0.049090684	542	150
Lyzl1	unassigned	""	5	Deletion (1-14bp)	0.480880069	86486	19425	-0.155636275	12.87597764	13.03161392	12.87701393	0.049090684	17501	151
Zfp277	unassigned	""	5	Deletion (1-14bp)	0.463167696	83809	19608	-0.089787072	12.84323108	12.99275516	12.84421286	0.049090684	16964	152
Atp5j2	unassigned	""	5	Deletion (1-14bp)	0.714228331	27105	7705	0.149912391	12.82003859	12.97900334	12.82192414	0.049090684	132	153
Btnl9	unassigned	""	5	Deletion (1-14bp)	0.54149951	76206	18571	-0.045814933	12.80827201	12.95391655	12.80927909	0.049090684	14320	154
Gabrd	unassigned	""	5	Deletion (1-14bp)	0.51223525	83347	18766	-0.136567773	12.79954099	12.93610876	12.80049292	0.049090684	17458	155
Klhl21	unassigned	""	4	Deletion (1-14bp)	0.492802136	145818	34663	-0.051469199	12.79327721	12.89077331	12.79374545	0.049090684	14891	156
Htra2	unassigned	""	5	Deletion (1-14bp)	0.507755659	104280	24095	-0.105722017	12.75323703	12.88678572	12.75405238	0.049090684	17232	157
Shb	unassigned	""	4	Deletion (1-14bp)	0.471270729	72939	17047	-0.11496582	12.74628674	12.91499563	12.74747735	0.049090684	17331	158
Siah1b	unassigned	""	4	Deletion (1-14bp)	0.475085644	80915	20200	-0.013507004	12.73451932	12.85068677	12.73524317	0.049090684	9599	159
Klhl12	unassigned	""	5	Deletion (1-14bp)	0.502316864	55412	14865	0.112252842	12.70464862	12.85450258	12.70582952	0.049090684	346	160
Cdkl4	unassigned	""	5	Deletion (1-14bp)	0.511638209	97377	22728	-0.103014784	12.70185239	12.82554692	12.70258922	0.049090684	17198	161
Slc6a15	unassigned	""	5	Deletion (1-14bp)	0.50443118	79247	19417	-0.017957692	12.68886027	12.82202283	12.6898153	0.049090684	10363	162
Ddah1	unassigned	""	4	Deletion (1-14bp)	0.477912562	84038	19890	-0.081187186	12.68800788	12.80768309	12.68871975	0.049090684	16726	163
Mob4	unassigned	""	4	Deletion (1-14bp)	0.621988598	31024	8861	0.175197631	12.63891455	12.81411218	12.64095624	0.049090684	66	164
Shox2	unassigned	""	4	Deletion (1-14bp)	0.497601038	100686	23064	-0.112225595	12.63724194	12.74946754	12.63800611	0.049090684	17309	165
Bcdin3d	unassigned	""	5	Deletion (1-14bp)	0.539732854	72744	19373	0.082180412	12.61343544	12.75645997	12.61448894	0.049090684	776	166
Slc9a7	unassigned	""	5	Deletion (1-14bp)	0.464133873	82751	19290	-0.092297202	12.60933028	12.75284739	12.6103254	0.049090684	17020	167
Cenpq	unassigned	""	3	Deletion (1-14bp)	0.452394996	17267	3364	-0.336029243	12.57504689	12.91107613	12.58054244	0.049090684	17543	168
Lman2	unassigned	""	5	Deletion (1-14bp)	0.517087984	86994	21447	-0.024180203	12.55447943	12.69513159	12.55537749	0.049090684	11405	169
Mbtps1	unassigned	""	4	Deletion (1-14bp)	0.699460412	24589	7089	0.21193572	12.54498035	12.75691607	12.54755243	0.049090684	28	170
Evi2a	unassigned	""	4	Deletion (1-14bp)	0.490500209	54655	13930	0.044784991	12.46801919	12.63270364	12.46937144	0.049090684	2157	171
Hps3	unassigned	""	5	Deletion (1-14bp)	0.481335358	84339	19130	-0.118146735	12.46205489	12.59010979	12.46287222	0.049090684	17356	172
Trmt5	unassigned	""	4	Deletion (1-14bp)	0.608532521	39139	10572	0.077740963	12.46154132	12.6456347	12.46354667	0.049090684	872	173
Cysltr2	unassigned	""	5	Deletion (1-14bp)	0.487411144	38388	8219	-0.218010093	12.43935407	12.65736416	12.44156288	0.049090684	17539	174
Cbll1	unassigned	""	5	Deletion (1-14bp)	0.429693125	110221	26792	-0.03786463	12.42220589	12.53119371	12.42287053	0.049090684	13417	175
Ktn1	unassigned	""	5	Deletion (1-14bp)	0.496135039	56532	12762	-0.135134026	12.40445504	12.5906739	12.40601838	0.049090684	17454	176
Cyp2d12	unassigned	""	4	Deletion (1-14bp)	0.505466771	92162	23139	0.027638701	12.37678708	12.49839471	12.37754069	0.049090684	3528	177
Dpysl4	unassigned	""	5	Deletion (1-14bp)	0.499693482	128763	31228	-0.012760596	12.33120001	12.43106651	12.33175858	0.049090684	9472	178
Def6	unassigned	""	5	Deletion (1-14bp)	0.484371021	99476	24859	0.01763712	12.32915885	12.44463773	12.32981429	0.049090684	4695	179
Tceal7	unassigned	""	3	Deletion (1-14bp)	0.466504994	57715	13752	-0.085536087	12.32105403	12.50760972	12.32255568	0.049090684	16864	180
Arpp21	unassigned	""	4	Deletion (1-14bp)	0.510978958	52000	12663	-0.01489901	12.29074226	12.45175853	12.29220066	0.049090684	9846	181
Lamc2	unassigned	""	5	Deletion (1-14bp)	0.493971928	130924	32090	-0.014588773	12.27282443	12.39099731	12.27345333	0.049090684	9786	182
Zpbp	unassigned	""	5	Deletion (1-14bp)	0.494774629	104484	24414	-0.096668866	12.24613007	12.36479866	12.24690396	0.049090684	17113	183
Il2ra	unassigned	""	5	Deletion (1-14bp)	0.51615762	55285	13526	-0.031024454	12.23702139	12.40941909	12.23836402	0.049090684	12442	184
Wdr48	FA/ICL	""	5	Deletion (1-14bp)	0.59544602	61086	16412	0.106083854	12.22339948	12.35409572	12.22445178	0.049090684	405	185
Ptch1	unassigned	""	5	Deletion (1-14bp)	0.522869365	131715	31800	-0.037689011	12.18591257	12.28227858	12.18644791	0.049090684	13386	186
