Gene	Pathway1	Pathway2	BCCount	Type	meanWTfraction	SumTrial	SumCounts	meanLFC	meanPScore	meanManHdist	meanEuclDist	sdType	RankUp	RankPval
Ankrd24	unassigned	""	5	POLQ-deletion	0.51851577	89972	20429	-0.030706532	1.886129992	1.942617536	1.887089515	0.057883088	12944	14968
Cenpx	unassigned	""	4	POLQ-deletion	0.508527482	111273	25390	0.002014515	1.885577559	1.926240645	1.88614168	0.057883088	8623	14969
Itgad	unassigned	""	5	POLQ-deletion	0.495360521	83360	19504	0.025210732	1.885551804	1.928319337	1.886252105	0.057883088	5364	14970
Tas1r2	unassigned	""	5	POLQ-deletion	0.496444414	103790	23160	-0.025630753	1.885534485	1.934421763	1.886310645	0.057883088	12378	14971
Chd1l	unassigned	""	4	POLQ-deletion	0.517183075	42143	9360	-0.088041965	1.885441895	1.97348386	1.887569293	0.057883088	16373	14972
Fgf4	unassigned	""	5	POLQ-deletion	0.510490524	119912	27557	0.009570799	1.885171796	1.932823136	1.885875948	0.057883088	7539	14973
Zfp324	unassigned	""	5	POLQ-deletion	0.552110963	80593	18797	0.03641489	1.884708579	1.942591401	1.885715528	0.057883088	3960	14974
Cyp24a1	unassigned	""	5	POLQ-deletion	0.493073027	121600	27442	-0.008372156	1.884353946	1.934255836	1.88507858	0.057883088	10056	14975
Zfand3	unassigned	""	5	POLQ-deletion	0.4863722	109892	25343	0.013631706	1.884085845	1.921727238	1.884574763	0.057883088	6953	14976
Gabpa	unassigned	""	4	POLQ-deletion	0.686179746	21371	4576	-0.10128394	1.884033821	1.998631548	1.887820658	0.057883088	16668	14977
Trpm2	unassigned	""	5	POLQ-deletion	0.551769524	86298	19748	0.020751927	1.883409725	1.932355223	1.884186278	0.057883088	5955	14978
Snrpn	unassigned	""	5	POLQ-deletion	0.532524721	66457	15312	0.034490053	1.883279009	1.948143678	1.884514251	0.057883088	4184	14979
Adcy3	unassigned	""	5	POLQ-deletion	0.499282343	99727	22493	-0.00130736	1.882860774	1.935347152	1.883665925	0.057883088	9085	14980
Asf1b	unassigned	""	5	POLQ-deletion	0.52268943	66009	15256	0.011149775	1.882845143	1.939781482	1.88388106	0.057883088	7299	14981
Clrn2	unassigned	""	5	POLQ-deletion	0.507911479	57254	13209	0.006875372	1.882162808	1.937768483	1.883153892	0.057883088	7925	14982
Rnf149	unassigned	""	5	POLQ-deletion	0.513719181	63117	13956	-0.056308105	1.882082457	1.938390561	1.883239528	0.057883088	15027	14983
Cdk5rap1	unassigned	""	5	POLQ-deletion	0.516338271	114153	25620	-0.027961618	1.88177773	1.927381933	1.88246287	0.057883088	12643	14984
Rab13	unassigned	""	5	POLQ-deletion	0.483735935	69119	15582	-0.00761443	1.881656206	1.930580221	1.882658462	0.057883088	9954	14985
Plpp2	unassigned	""	5	POLQ-deletion	0.546163462	61033	13698	-0.004891139	1.881440328	1.938814587	1.882586008	0.057883088	9567	14986
Mterf1b	unassigned	""	5	POLQ-deletion	0.584207112	84669	18502	-0.043593682	1.881431251	1.925024933	1.882192878	0.057883088	14152	14987
Actr3b	unassigned	""	5	POLQ-deletion	0.504261062	64888	14871	-0.002649358	1.881354915	1.942678535	1.882546207	0.057883088	9280	14988
Ift57	unassigned	""	5	POLQ-deletion	0.51034237	100351	22491	-0.045267248	1.881127173	1.936531638	1.882027578	0.057883088	14291	14989
Pate2	unassigned	""	4	POLQ-deletion	0.488848647	91226	20497	0.002456902	1.880868441	1.931304208	1.881681784	0.057883088	8569	14990
Ttc7b	unassigned	""	5	POLQ-deletion	0.515488719	92967	21481	0.025314412	1.880493597	1.931908563	1.881352208	0.057883088	5345	14991
D1Pas1	unassigned	""	5	POLQ-deletion	0.48914394	150271	34460	0.016895671	1.88042825	1.925320348	1.881010446	0.057883088	6482	14992
Tle4	unassigned	""	5	POLQ-deletion	0.499871886	117242	27329	-0.004327501	1.880392773	1.9253764	1.881026162	0.057883088	9514	14993
Fam91a1	unassigned	""	5	POLQ-deletion	0.520202806	66830	15437	0.028882808	1.880285743	1.930949441	1.881172991	0.057883088	4879	14994
Camk2d	unassigned	""	5	POLQ-deletion	0.488714742	68523	15726	0.008515997	1.879817707	1.931721628	1.880733135	0.057883088	7681	14995
Azin2	unassigned	""	5	POLQ-deletion	0.545512148	80730	18159	-0.011062902	1.879719921	1.940714864	1.880824153	0.057883088	10476	14996
Plac8	unassigned	""	5	POLQ-deletion	0.509542063	63647	14206	0.013775862	1.879719784	1.941367939	1.880904558	0.057883088	6939	14997
